Content,Video title,Video publish time,New viewers,Returning viewers,Likes,Subscribers gained,Shown in feed,Viewed (vs. swiped away) (%),Average percentage viewed (%),Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,0,0,3562,265,253186,38.21,83.8,97004,375.6609,222,17949,5.19
M1fTBQ96BRM,just a normal guy. #selfimprovement  #motivation,"Dec 15, 2023",,,134,3,11304,42.68,102.69,4835,19.3082,3,618,4.53
OrVFdHWj3p4,It's a scary feeling.,"Feb 2, 2024",,,70,11,9744,43.02,84.38,4192,15.7201,10,133,5.26
bHWnm6SWU90,Self discipline is so important  #selfimprovement  #motivation #yourdreams,"Dec 1, 2023",,,192,22,6248,49.55,95.79,3138,20.8753,20,714,3.78
ecR8LPfmWgk,You have to be crazy,"Feb 18, 2024",,,78,5,7727,34.84,109.83,2693,9.0374,5,123,6.5
Ray11wAO8dA,Can you keep pushing?,"Jan 18, 2024",,,72,3,5741,46.28,81.52,2658,7.8243,3,164,7.32
viiv1Bj6zKI,You need to change  #selfimprovement  #motivation #yourdreams,"Dec 3, 2023",,,91,8,5464,45.7,86.27,2504,7.2008,7,254,4.33
lfUIOrPbcm4,Make room to improve!,"Jan 26, 2024",,,88,6,5656,44.5,89.29,2520,7.5002,6,293,3.41
_YOWnhGBjGE,I'm Working On Something,"Jan 29, 2024",,,145,6,7244,34.58,74.27,2508,9.8308,4,399,4.26
_7wbPexTVYg,You're not worthy... YET,"Feb 3, 2024",,,77,7,7079,34.4,124.37,2438,10.1074,7,145,8.28
Xk-r72l8hI8,STOP lying to yourself...,"Feb 7, 2024",,,70,1,4833,49.41,76.23,2391,10.1259,1,179,6.15
fyPLlgGoVtc,Are you this kind of person?,"Jan 13, 2024",,,43,6,6045,38.48,105.11,2326,6.1123,4,146,3.42
iniQG9cVAdw,Are you doing it right?,"Feb 4, 2024",,,71,2,4871,47.3,74.95,2304,8.1551,2,125,3.2
NSEC_UhjT9Q,Get up early to win!!,"Jan 15, 2024",,,62,5,4976,45.44,129.68,2263,7.3367,5,140,7.14
mjWg2uU9jWI,"Why losing, is so important!!","Jan 24, 2024",,,79,1,5740,38.82,97.48,2232,12.6914,1,205,7.32
jxqZwZ0Nr_c,"Me, Myself and I","Feb 9, 2024",,,119,8,6293,35.17,80.42,2219,8.4265,8,220,4.09
MR5-hJqJxBY,Nothing comes from quitting!!,"Feb 6, 2024",,,84,5,6076,35.25,85.33,2145,9.1517,5,153,9.15
Gd-hnGNN380,why no one understands you!,"Jan 28, 2024",,,52,3,4675,44.53,79.41,2083,6.892,3,149,4.7
ceEFRUAhGfU,Take your chance NOW!,"Jan 2, 2024",,,74,3,5314,38.63,81.7,2055,8.3944,3,200,5
AIaYTiz4WAE,"Why, you should workout so hard.","Dec 21, 2023",,,64,2,4286,48.65,75.35,2085,7.8556,2,190,4.21
YBAeGePYvgU,Everyday is a blessing. Remember :),"Jan 7, 2024",,,48,3,6295,31.76,102.32,1999,5.1133,3,152,1.32
wFmZjBzpo98,I HOPE. 39/100,"Dec 26, 2023",,,52,8,4586,43.59,111.71,2000,7.4474,8,142,2.82
mvi1Ud4bsSM,Ignore the hate. #selfimprovement  #motivation,"Dec 16, 2023",,,79,6,5374,35.45,102.83,1910,7.6376,6,369,2.71
F8-OvRjdtMg,You're not even trying!!,"Jan 20, 2024",,,67,3,5062,36.65,109.13,1857,5.0665,3,152,2.63
xuTNj4D_wOY,you must keep going!,"Feb 10, 2024",,,73,6,5673,32.84,91.9,1864,7.1373,6,94,3.19
f-K1KoLwDyc,Discipline conquers anything!,"Jan 4, 2024",,,56,5,5351,34.55,117.23,1850,7.8314,5,174,4.6
1DYXRZ3v1aE,What is YOUR mindset?,"Dec 23, 2023",,,57,4,4781,38.46,98.19,1839,4.5144,4,164,1.83
bXDR4qZvjD0,You must build yourself for success,"Feb 13, 2024",,,97,8,5609,32.29,101.18,1812,7.6392,8,132,4.55
Exm-oHe1NoE,YOU LACK...,"Feb 8, 2024",,,95,9,5973,30,89.34,1793,5.7847,9,166,3.61
f7TC5hIk2QM,YOU'RE LYING TO YOURSELF!,"Jan 26, 2024",,,47,1,5581,31.84,81.7,1780,6.0596,0,170,8.24
f64nOCVODRw,YOU CAN'T FAIL,"Jan 23, 2024",,,78,9,4923,34.13,106.38,1680,8.9358,9,170,2.94
kTyslLRs4dg,Your consistency will pay off!!,"Dec 22, 2023",,,50,1,5444,29.78,112.03,1622,8.5807,1,183,5.46
MfvqzMS2lSo,How to plan the best 2024!,"Jan 6, 2024",,,51,3,3566,33.43,91.25,1192,5.4384,2,151,4.64
w0cOHjDYHdU,How to be Emotionally mature!,"Dec 29, 2023",,,23,2,3059,39.1,123.43,1196,4.5108,2,184,3.8
dPsSOn-78Gg,Why are you failing!?,"Jan 20, 2024",,,29,2,3824,29.42,75.16,1127,4.2355,1,123,3.25
IIAkzpHYI8E,Manifesting is powerfull #selfimprovement  #motivation #yourdreams,"Dec 6, 2023",,,30,3,2839,38.04,61.35,1082,4.2407,3,417,1.92
zd2p8EnGEX0,Celebrate your wins in life #motivation  #selfimprovement  #yourdreams,"Nov 25, 2023",,,47,4,2133,49.74,59.12,1061,4.1816,4,195,10.77
uSvoAFGlwtA,"IGNORE YOUR FEAR, KEEP GOING!!","Jan 31, 2024",,,26,0,1818,51.65,59.7,939,4.0487,0,122,5.74
FyurAAR-FUU,GET UP AGAIN AND AGAIN #motivation  #selfimprovement  #yourdreams,"Nov 27, 2023",,,42,1,1960,45.56,67.54,893,3.8536,1,186,6.45
r4b1iGN5bjA,You only need these 3 things!!,"Jan 11, 2024",,,22,2,1831,39.98,70.61,736,2.3097,2,183,6.01
Uv6HmdzxUfU,Conquer yourself or be conquered by self#motivation  #selfimprovement  #yourdreams #wisdom,"Nov 26, 2023",,,29,1,1804,36.86,88.47,665,3.1051,1,288,7.29
yElcumzze54,"In this together, I GOT YOU","Jan 27, 2024",,,21,1,1824,34.7,122.71,635,3.2467,1,173,6.36
Npfe1c_0Kao,Are you putting the work in? #selfimprovement  #motivation,"Dec 20, 2023",,,16,0,1341,43.48,70.14,583,1.7038,0,132,5.3
uu0-5vNv5bc,THE KEY TO SUCCESS,"Jan 30, 2024",,,22,2,1877,30.69,87.14,576,2.0913,1,129,5.43
bJomzc0gSeo,Prove your value!,"Feb 15, 2024",,,18,0,1479,37.8,77.55,559,1.8062,0,107,10.28
RQhVF8Q9wXU,"Don't live an easy life, it's not worth it  #selfimprovement  #motivation #yourdreams","Nov 28, 2023",,,20,1,1113,45.82,53.19,513,1.9707,1,211,4.74
0NlT2iz5Isc,DO YOU WANT IT?,"Feb 22, 2024",,,22,0,1231,39.16,71.47,482,1.7224,0,33,9.09
59VQnSxXBYA,Do you really want it!!,"Jan 18, 2024",,,19,2,1589,29.7,100.76,472,1.3211,2,116,7.76
mK8K9PfRg1s,Do you want success? #selfimprovement  #motivation #yourdreams,"Dec 8, 2023",,,16,1,1446,32.71,57.75,474,1.5207,1,140,3.57
4RpQ7U_N7sI,Why you keep messing up?,"Feb 11, 2024",,,15,0,1173,39.3,53.93,461,1.5193,0,99,7.07
